name,ministry,salary,bank_account,bank_name,biometric_id,attendance_rate,employment_date,id
Bola Oyedepo,Ministry of Water Resources,98982,8010731009,Zenith,,99.9,2024-08-12,EMP_000001
Chukwu Nwosu,Ministry of Power,313321,7206428036,UBA,BIO_69163,90.97,2020-08-28,EMP_000002
Chukwu Okafor,Ministry of Water Resources,344351,5526250168,Access,BIO_54991,86.03,2021-07-26,EMP_000003
Kemi Adeyemi,Ministry of Water Resources,464546,3439368231,UBA,BIO_17019,94.73,2024-06-16,EMP_000004
Uchenna Okafor,Nigeria Customs Service,368328,4387907653,First Bank,BIO_47016,88.01,2020-02-13,EMP_000005
Yemi Adeyemi,Ministry of Health,217782,4390624605,Access,BIO_93521,96.86,2024-06-23,EMP_000006
Usman Suleiman,Ministry of Finance,469170,1310460382,First Bank,BIO_71445,91.53,2016-07-26,EMP_000007
Ade Adeyemi,Nigeria Customs Service,283761,8055421430,First Bank,BIO_90868,86.95,2023-08-25,EMP_000008
Ade Oyedepo,Civil Service Commission,293737,9910439336,Access,BIO_40503,94.67,2019-09-17,EMP_000009
Chinedu Nwankwo,Federal Roads Maintenance Agency,185939,4778421700,GTBank,BIO_47569,87.18,2021-04-14,EMP_000010
Yemi Oyedepo,Ministry of Finance,295961,1159074258,GTBank,BIO_73614,96.62,2018-06-08,EMP_000011
Ibrahim Suleiman,Ministry of Finance,206827,2713506872,Zenith,BIO_92268,90.96,2021-01-20,EMP_000012
Fatima Ahmad,Ministry of Education,241539,4711133435,UBA,BIO_50244,96.14,2021-02-17,EMP_000013
Chinedu Nwosu,Ministry of Works,418045,8331900056,UBA,BIO_29605,92.92,2022-05-27,EMP_000014
Kemi Williams,Ministry of Education,1124865,1892483468,GTBank,BIO_26453,90.05,2025-12-05,EMP_000015
Aisha Ahmad,Federal Roads Maintenance Agency,331828,4760263093,Access,BIO_72629,91.76,2016-07-25,EMP_000016
Ibrahim Yusuf,Ministry of Works,494987,2181324540,UBA,BIO_68340,87.16,2018-12-03,EMP_000017
Kemi Ogunlesi,Civil Service Commission,401064,2646081790,UBA,BIO_71260,95.26,2020-12-23,EMP_000018
Tayo Adeleke,Ministry of Education,381826,4329992287,GTBank,BIO_54307,87.42,2018-12-09,EMP_000019
Tunde Adeleke,Nigeria Customs Service,489395,8938668911,GTBank,BIO_70757,99.28,2024-10-19,EMP_000020
Ibrahim Mohammed,Ministry of Agriculture,126107,3328598403,GTBank,BIO_22896,93.34,2020-04-24,EMP_000021
Chinedu Onyeka,Ministry of Power,340226,3780263746,First Bank,BIO_29250,87.11,2018-07-25,EMP_000022
Bola Adeyemi,Ministry of Water Resources,112865,3167341496,Access,BIO_23449,95.61,2022-08-01,EMP_000023
Uchenna Okonkwo,Ministry of Agriculture,397210,2355597127,First Bank,BIO_35172,90.44,2021-08-02,EMP_000024
Uchenna Nwosu,Ministry of Finance,221536,7787906758,GTBank,BIO_88020,89.37,2019-08-20,EMP_000025
Kemi Williams,Ministry of Agriculture,496765,9817489577,First Bank,BIO_18986,88.57,2018-01-02,EMP_000026
Adaeze Onyeka,Civil Service Commission,281859,2093979701,First Bank,BIO_69632,95.98,2016-08-10,EMP_000027
Bola Ogunlesi,Ministry of Finance,401668,9896558900,First Bank,BIO_91011,96.84,2016-12-26,EMP_000028
Aisha Mohammed,Nigeria Customs Service,385733,1754425115,Zenith,BIO_34780,97.53,2024-11-23,EMP_000029
Chinedu Okonkwo,Ministry of Agriculture,261474,1573016956,UBA,BIO_99522,90.8,2016-09-21,EMP_000030
Chiamaka Eze,Ministry of Agriculture,343488,6060701518,First Bank,BIO_96099,96.0,2023-04-19,EMP_000031
Ibrahim Umar,Federal Roads Maintenance Agency,146265,4069340002,UBA,BIO_16675,85.38,2019-06-06,EMP_000032
Okechukwu Nwosu,Ministry of Power,449269,7797563329,First Bank,BIO_84779,93.09,2023-07-13,EMP_000033
Okechukwu Obiora,Ministry of Education,190411,9946204226,Access,BIO_60946,94.43,2017-07-24,EMP_000034
Tunde Adeyemi,Ministry of Agriculture,178390,4149813612,Access,BIO_17946,85.01,2018-05-26,EMP_000035
Adaeze Onyeka,Ministry of Agriculture,338570,3052485405,UBA,BIO_86692,89.57,2024-07-29,EMP_000036
Chioma Onyeka,Federal Roads Maintenance Agency,106480,9300829336,First Bank,BIO_62778,88.49,2024-05-29,EMP_000037
Tunde Oyedepo,Ministry of Education,394468,6994536818,GTBank,BIO_75409,95.7,2025-01-22,EMP_000038
Uchenna Eze,Civil Service Commission,449885,4271036276,First Bank,BIO_25117,90.67,2021-06-15,EMP_000039
Femi Williams,Ministry of Education,306561,5231878629,Zenith,BIO_98617,90.94,2022-03-05,EMP_000040
Amina Umar,Ministry of Health,397987,6361049302,First Bank,BIO_40316,86.09,2018-01-01,EMP_000041
Zainab Musa,Ministry of Power,157916,2003588503,First Bank,BIO_96050,94.03,2018-12-28,EMP_000042
Usman Mohammed,Ministry of Power,214137,5989769093,GTBank,BIO_58658,97.22,2019-02-03,EMP_000043
Abubakar Ibrahim,Ministry of Works,111719,5283745645,Access,BIO_41662,92.09,2018-08-15,EMP_000044
Amina Ibrahim,Federal Roads Maintenance Agency,498334,1355813028,UBA,BIO_25535,89.53,2020-01-16,EMP_000045
Bola Oyedepo,Ministry of Works,82796,6782131496,GTBank,BIO_93759,96.9,2020-02-28,EMP_000046
Uchenna Onyeka,Federal Roads Maintenance Agency,490875,5125789908,UBA,BIO_15205,97.89,2022-10-05,EMP_000047
Abubakar Ibrahim,Civil Service Commission,432360,3280915852,Zenith,BIO_70356,91.95,2024-11-28,EMP_000048
Tayo Ogunlesi,Ministry of Water Resources,101873,3163016483,UBA,BIO_78739,97.16,2022-01-03,EMP_000049
Usman Mohammed,Federal Roads Maintenance Agency,144250,8892397890,Access,BIO_26728,96.91,2018-09-04,EMP_000050
Femi Adeleke,Ministry of Water Resources,263206,9472703837,GTBank,,99.9,2024-07-26,EMP_000051
Ibrahim Musa,Ministry of Education,414460,8188842629,UBA,BIO_90346,91.0,2017-06-07,EMP_000052
Hassan Musa,Ministry of Health,491060,5398746579,GTBank,BIO_13518,85.32,2022-06-12,EMP_000053
Amina Suleiman,Ministry of Agriculture,309965,6147538670,Zenith,,99.9,2025-10-24,EMP_000054
Chioma Nwosu,Civil Service Commission,114622,9541989107,UBA,BIO_48452,89.1,2018-05-06,EMP_000055
Tunde Oyedepo,Civil Service Commission,277098,4664134540,First Bank,BIO_14401,90.84,2022-12-13,EMP_000056
Adaeze Eze,Federal Roads Maintenance Agency,478590,9894597124,First Bank,BIO_54938,87.06,2023-01-25,EMP_000057
Ade Adebayo,Ministry of Water Resources,415155,1051278781,GTBank,BIO_47131,92.0,2019-12-23,EMP_000058
Femi Ogunlesi,Federal Roads Maintenance Agency,125508,1982546183,Access,BIO_19465,95.13,2019-04-07,EMP_000059
Dele Williams,Ministry of Power,479892,6150546687,First Bank,BIO_36455,90.93,2024-12-20,EMP_000060
Uchenna Okafor,Ministry of Water Resources,216628,2622542360,Access,BIO_67609,88.59,2022-12-08,EMP_000061
Chiamaka Okafor,Ministry of Education,89116,1100673656,GTBank,BIO_20363,96.69,2020-12-05,EMP_000062
Ibrahim Suleiman,Civil Service Commission,169551,8928448019,UBA,BIO_41086,87.97,2024-05-10,EMP_000063
Adaeze Nwankwo,Ministry of Finance,1460474,1556056004,UBA,BIO_47820,86.07,2025-07-05,EMP_000064
Chiamaka Nwosu,Federal Roads Maintenance Agency,143471,7567157544,Zenith,BIO_40316,88.41,2019-01-07,EMP_000065
Bola Williams,Ministry of Water Resources,478716,3152640200,UBA,BIO_51279,90.47,2020-06-21,EMP_000066
Dele Williams,Federal Roads Maintenance Agency,210710,6245632955,Zenith,BIO_94787,88.55,2022-10-13,EMP_000067
Femi Adebayo,Nigeria Customs Service,157661,3671153865,First Bank,BIO_48030,86.84,2018-05-20,EMP_000068
Adaeze Onyeka,Federal Roads Maintenance Agency,353491,7569628424,Access,BIO_92489,87.75,2023-02-13,EMP_000069
Hassan Ibrahim,Ministry of Education,187148,5733202496,GTBank,BIO_17874,91.1,2020-02-14,EMP_000070
Dele Ogunlesi,Civil Service Commission,169271,2682182910,UBA,BIO_12508,88.09,2023-07-25,EMP_000071
Zainab Yusuf,Ministry of Water Resources,140484,1711325168,Access,BIO_54404,93.97,2022-04-11,EMP_000072
Bola Ogunlesi,Federal Roads Maintenance Agency,462163,6215155255,GTBank,BIO_61584,90.59,2024-10-29,EMP_000073
Kemi Williams,Ministry of Education,317792,1101322090,First Bank,BIO_96267,91.22,2019-07-09,EMP_000074
Ibrahim Musa,Ministry of Water Resources,332604,4900246804,Zenith,BIO_87127,87.83,2020-04-08,EMP_000075
Chukwu Eze,Ministry of Power,240620,6525552847,First Bank,BIO_88256,93.19,2020-01-12,EMP_000076
Abubakar Suleiman,Civil Service Commission,410624,3855908789,UBA,BIO_86559,95.82,2022-08-18,EMP_000077
Tunde Oyedepo,Ministry of Education,299814,4510381358,First Bank,BIO_45960,88.71,2025-03-25,EMP_000078
Abubakar Musa,Federal Roads Maintenance Agency,223913,3926271857,Zenith,BIO_74294,95.24,2019-02-14,EMP_000079
Adaeze Onyeka,Ministry of Water Resources,238755,5620976444,Access,BIO_51037,87.46,2020-01-10,EMP_000080
Okechukwu Ani,Ministry of Works,480889,5652317533,GTBank,BIO_81859,98.96,2024-08-29,EMP_000081
Fatima Ibrahim,Federal Roads Maintenance Agency,298186,4565166447,Zenith,BIO_69928,98.74,2021-06-23,EMP_000082
Fatima Ibrahim,Nigeria Customs Service,114067,9905581917,UBA,BIO_79186,90.99,2024-08-31,EMP_000083
Chinedu Eze,Ministry of Health,444628,4552511829,GTBank,BIO_97522,96.06,2017-06-06,EMP_000084
Chinedu Onyeka,Ministry of Water Resources,193265,7117315589,UBA,BIO_20183,95.53,2022-01-04,EMP_000085
Yemi Adeyemi,Nigeria Customs Service,212366,5553867021,First Bank,BIO_11618,95.36,2018-08-27,EMP_000086
Chioma Okonkwo,Civil Service Commission,289133,9270261352,Access,BIO_40810,93.16,2023-01-10,EMP_000087
